iter	Passed	Remaining
398	337849	85520
399	338636	84659
400	339446	83803
401	340275	82952
402	341121	82106
403	341973	81261
404	342816	80413
405	343670	79569
406	344540	78727
407	345351	77873
408	346168	77020
409	346976	76165
410	347802	75314
411	348626	74463
412	349429	73608
413	350270	72761
414	351090	71910
415	351921	71061
416	352776	70216
417	353615	69369
418	354489	68529
419	355293	67675
420	356127	66826
421	357000	65985
422	357820	65135
423	358636	64283
424	359449	63432
425	360263	62581
426	361058	61726
427	361860	60873
428	362722	60030
429	363535	59180
430	364340	58328
431	365161	57479
432	365994	56631
433	366798	55780
434	367637	54934
435	367959	54012
436	368765	53162
437	369594	52316
438	370413	51469
439	371219	50620
440	372055	49776
441	372864	48927
442	373674	48080
443	374478	47231
444	375298	46385
445	376123	45539
446	376967	44696
447	377778	43849
448	378102	42947
449	378930	42103
450	379742	41258
451	380560	40413
452	381392	39570
453	382242	38729
454	383060	37885
455	383892	37042
456	384755	36202
457	385562	35357
458	386415	34516
459	387254	33674
460	388072	32830
461	388907	31988
462	389732	31144
463	390556	30301
464	391371	29458
465	392204	28615
466	393031	27773
467	393858	26930
468	394159	26053
469	394965	25210
470	395760	24367
471	396584	23526
472	397434	22686
473	398256	21845
474	399091	21004
475	399915	20163
476	400741	19322
477	401619	18484
478	402507	17646
479	403406	16808
480	404285	15969
481	404464	15104
482	405284	14264
483	406103	13424
484	406929	12585
485	407723	11745
486	408582	10906
487	409413	10067
488	410249	9228
489	411087	8389
490	411920	7550
491	412744	6711
492	413568	5872
493	413682	5024
494	414505	4186
495	415321	3349
496	416154	2512
497	416989	1674
498	417815	837
499	418662	0
